ID,tweet
51, Result of Poll From Raymond Dokpesi Unit Polling Unit 8 Ward 1 Agenebode Etsako East APC 163 SDP 1 ADC 1 PDP 214 Accredited 1114 Vote Cast 395 Void 16 FOLLOW LIVE 
52, RESULT OF POLL Polling Unit 007 Ward 05 Esan North East LGA ADC 1 ADP 1 APC 95 APGA 1 PDP 64 FOLLOW LIVE 
53, RESULT OF POLL Polling Unit 003 Ward 04 Esan North East LGA APC 40 PDP 174 ADC 3 SDP 1 FOLLOW LIVE 
54, RESULT Owan West Uzebba Community Polling Unit 11 Ward 10 APC 180 PDP 81 ADP 2 NRM 1 FOLLOW LIVE 
55, RESULT OF POLL Polling Unit 005 Ward 04 Esan North East LGA APC 29 NNPP 1 PDP 152 FOLLOW LIVE 
56, RESULT OF POLL Polling Unit 006 Ward 04 Esan North East LGA ADC 1 ADP 1 APC 42 PDP 109 YPP 1 FOLLOW LIVE 
57, Voting At Egor Primary School Ward 4 In Egor LGA Both PDP and Apc involved in buying of votes PDP paid each voter N1000 while Apc N3000 Many PDP members lamented their payment was lower than Apc FOLLOW LIVE 
58, PHOTOS voter Taiwo Michael Eno beaten by thugs for voting for in Ward 6 Ikpoba Okha LGA FOLLOW LIVE 
59, Voting Stopped At Egor LGA Due To Non functional Card Readers Sahara Reporters 
60, VIDEO Agents Share Face Masks To Woo Voters In Polling Unit 2 Ward 7 Egor Local Government Area WATCH FULL VIDEO 
61, Follow SaharaReporters Live Coverage Of The 2020 Edo Governorship Election FOLLOW LIVE 
62, BREAKING xe2 x80 x99m Disappointed In INEC xe2 x80 x93 GovernorObaseki Sahara Reporters 
63, BREAKING Thugs Chase Party Agents Of Other Political Parties From Polling Unit The governor who is on the queue watches on as his thugs carry out the acts FOLLOW LIVE 
64, BREAKING Violence erupts at Obaseki xe2 x80 x99s polling unit FOLLOW LIVE 
65, INFOGRAPHICS delay was recorded on the part of INEC to commence the election FOLLOW LIVE 
66, APC Candidate Ize Iyamu Votes APC governorship candidate Osagie Ize Iyamu casts his vote at his polling unit 026 Ward 5 Iguododo LGA FOLLOW LIVE 
67, Massive Turnout As Election Begins Edo residents are trooping out to exercise their franchise in the Governorship Election Over 200 voters are already at Ward 12 Fire Service Benin to partake in the election FOLLOW LIVE 
68, OBASEKI POLLING UNIT officials setting up Okemole 1 Emokpae Primary School 1 Ward 4 Oredo LGA where will cast his vote later today FOLLOW LIVE 
69, NON ADHERENCE INEC officials and residents at Polling Unit 01 Ward 12 Oredo local government flout COVID 19 safety guidelines FOLLOW LIVE 
70, LIVE Edo Decides 2020 Sahara Reporters Welcome to our live coverage of the 2020 Edo Governorship election FOLLOW LIVE 
71, Why Police Officers Perpetrate Supervise Violence During Election WATCH FULL VIDEO 
72, Vote Buying Politicians Are Making Voters To Take An Oath To Vote For Them WATCH FULL VIDEO 
73, We Are Concerned Edo Election Will Not Be Determined By Voters But By Strong Arms Tactics WATCH FULL VIDEO 
74, BE CITIZEN JOURNALIST Notice any electoral malpractice Send us videos pictures TWITTER FACEBOOK Sahara Reporters EMAIL saharareporterstv gmail com 
75, Join us today as we discuss Matters Arising on the Edo 2020 Governorship Election Time Wednesday 5 7pm WAT Streaming Live On Sahara Reporters 
76, Final Results From All LGAs Accredited VOTERS 557443 APC 223619 PDP 307955 Obaseki wins with difference of 84 336 votes FOLLOW LIVE 
77, Final Result Of Last Local Government Area Ovia South West Announced APC 10 636 PDP 12 659 Total valid votes 23 741 Rejected votes 743 Total votes cast 24 484 FOLLOW LIVE 
78, INEC officers confirming the claim by the agent on the sudden disappearance of Orhionmwon LGA Collation Officer after arriving at headquarters Benin with the election result 
79, INEC officers confirming the claim by the agent on the sudden disappearance of Orhionmwon LGA Collation Officer after arriving at headquarters Benin with election result 
80, inecnigeria officials go on two hours break as results from the remaining two LGAs are being expected Results from Ovia South West and Orhionmwon LGAs are to be announced after the break FOLLOW LIVE 
